禁止mysql做dns查询

tail -f /dba/mysql/iZoi1yuqcvndysZ.err
2018-07-23 04:25:42 5874 [Warning] IP address '47.97.16.76' could not be resolved: Name or service not known
2018-07-23 09:33:46 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:33:47 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:34:37 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:35:19 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:38:51 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:43:17 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:57:07 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:57:08 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:58:46 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.


2018-07-23 09:59:20 5874 [Warning] IP address '121.35.103.64' has been resolved to the host name '64.103.35.121.broad.sz.gd.dynamic.163data.com.cn', which resembles IPv4-address itself.
2018-07-23 09:59:21 5874 [Warning] IP address '121.35.103.64' could not be resolved: Name or service not known
