sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 10
Report intermediate results every 10 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[  10s] threads: 10, tps: 801.48, reads: 11232.42, writes: 3206.42, response time: 46.63ms (99%), errors: 0.00, reconnects:  0.00
[  20s] threads: 10, tps: 790.97, reads: 11069.20, writes: 3163.79, response time: 41.89ms (99%), errors: 0.00, reconnects:  0.00
[  30s] threads: 10, tps: 837.59, reads: 11728.14, writes: 3349.95, response time: 37.59ms (99%), errors: 0.00, reconnects:  0.00
[  40s] threads: 10, tps: 836.20, reads: 11708.25, writes: 3344.91, response time: 33.27ms (99%), errors: 0.00, reconnects:  0.00
[  50s] threads: 10, tps: 861.10, reads: 12058.62, writes: 3446.21, response time: 34.03ms (99%), errors: 0.00, reconnects:  0.00
[  60s] threads: 10, tps: 852.31, reads: 11928.37, writes: 3407.62, response time: 32.75ms (99%), errors: 0.00, reconnects:  0.00
[  70s] threads: 10, tps: 949.80, reads: 13294.21, writes: 3799.70, response time: 31.04ms (99%), errors: 0.00, reconnects:  0.00
[  80s] threads: 10, tps: 876.79, reads: 12280.93, writes: 3507.55, response time: 31.61ms (99%), errors: 0.10, reconnects:  0.00
[  90s] threads: 10, tps: 956.59, reads: 13391.70, writes: 3825.64, response time: 28.76ms (99%), errors: 0.00, reconnects:  0.00
[ 100s] threads: 10, tps: 931.82, reads: 13045.97, writes: 3727.08, response time: 29.00ms (99%), errors: 0.00, reconnects:  0.00
[ 110s] threads: 10, tps: 835.39, reads: 11697.61, writes: 3342.28, response time: 29.41ms (99%), errors: 0.10, reconnects:  0.00
[ 120s] threads: 10, tps: 900.62, reads: 12608.98, writes: 3601.98, response time: 30.00ms (99%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 10, tps: 879.66, reads: 12314.03, writes: 3519.04, response time: 31.91ms (99%), errors: 0.10, reconnects:  0.00
[ 140s] threads: 10, tps: 918.23, reads: 12852.48, writes: 3672.64, response time: 29.36ms (99%), errors: 0.00, reconnects:  0.00
[ 150s] threads: 10, tps: 974.79, reads: 13650.51, writes: 3899.65, response time: 24.97ms (99%), errors: 0.00, reconnects:  0.00
[ 160s] threads: 10, tps: 839.66, reads: 11761.59, writes: 3359.96, response time: 33.10ms (99%), errors: 0.40, reconnects:  0.00
[ 170s] threads: 10, tps: 906.13, reads: 12687.47, writes: 3625.73, response time: 29.44ms (99%), errors: 0.00, reconnects:  0.00
[ 180s] threads: 10, tps: 904.69, reads: 12665.02, writes: 3617.78, response time: 32.29ms (99%), errors: 0.00, reconnects:  0.00
[ 190s] threads: 10, tps: 851.81, reads: 11920.99, writes: 3406.33, response time: 38.05ms (99%), errors: 0.00, reconnects:  0.00
[ 200s] threads: 10, tps: 973.29, reads: 13630.43, writes: 3893.28, response time: 28.31ms (99%), errors: 0.00, reconnects:  0.00
[ 210s] threads: 10, tps: 958.09, reads: 13413.99, writes: 3832.97, response time: 30.21ms (99%), errors: 0.00, reconnects:  0.00
[ 220s] threads: 10, tps: 966.51, reads: 13527.00, writes: 3865.03, response time: 29.29ms (99%), errors: 0.00, reconnects:  0.00
[ 230s] threads: 10, tps: 889.95, reads: 12465.93, writes: 3560.51, response time: 29.38ms (99%), errors: 0.20, reconnects:  0.00
[ 240s] threads: 10, tps: 919.96, reads: 12877.27, writes: 3680.32, response time: 31.02ms (99%), errors: 0.00, reconnects:  0.00
[ 250s] threads: 10, tps: 835.56, reads: 11698.16, writes: 3342.15, response time: 31.16ms (99%), errors: 0.10, reconnects:  0.00
[ 260s] threads: 10, tps: 917.94, reads: 12855.90, writes: 3674.47, response time: 29.19ms (99%), errors: 0.00, reconnects:  0.00
[ 270s] threads: 10, tps: 935.99, reads: 13103.52, writes: 3742.08, response time: 31.52ms (99%), errors: 0.10, reconnects:  0.00
[ 280s] threads: 10, tps: 890.90, reads: 12473.35, writes: 3563.01, response time: 31.04ms (99%), errors: 0.20, reconnects:  0.00
[ 290s] threads: 10, tps: 891.10, reads: 12475.06, writes: 3565.09, response time: 30.18ms (99%), errors: 0.10, reconnects:  0.00
[ 300s] threads: 10, tps: 986.40, reads: 13807.57, writes: 3945.52, response time: 27.07ms (99%), errors: 0.00, reconnects:  0.00
[ 310s] threads: 10, tps: 941.60, reads: 13188.20, writes: 3766.90, response time: 30.24ms (99%), errors: 0.10, reconnects:  0.00
[ 320s] threads: 10, tps: 865.40, reads: 12113.97, writes: 3461.29, response time: 36.61ms (99%), errors: 0.00, reconnects:  0.00
[ 330s] threads: 10, tps: 977.80, reads: 13689.25, writes: 3911.01, response time: 28.34ms (99%), errors: 0.00, reconnects:  0.00
[ 340s] threads: 10, tps: 932.70, reads: 13059.17, writes: 3730.89, response time: 29.64ms (99%), errors: 0.00, reconnects:  0.00
[ 350s] threads: 10, tps: 914.00, reads: 12795.77, writes: 3656.29, response time: 29.26ms (99%), errors: 0.00, reconnects:  0.00
[ 360s] threads: 10, tps: 937.56, reads: 13122.94, writes: 3749.54, response time: 27.33ms (99%), errors: 0.00, reconnects:  0.00
[ 370s] threads: 10, tps: 885.84, reads: 12406.88, writes: 3543.47, response time: 34.43ms (99%), errors: 0.00, reconnects:  0.00
